valueSetId,valueSetName,code,display,codeSystem
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.12,"Acute myocardial infarction of other anterior wall, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.2,"Acute myocardial infarction, of inferolateral wall",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.20,"Acute myocardial infarction of inferolateral wall, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.21,"Acute myocardial infarction of inferolateral wall, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.7,"Acute myocardial infarction, subendocardial infarction",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.9,"Acute myocardial infarction, unspecified site",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.0,"Acute myocardial infarction, of anterolateral wall",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.02,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.22,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.32,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.92,"Acute myocardial infarction of unspecified site, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.01,"Acute myocardial infarction of anterolateral wall, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.00,"Acute myocardial infarction of anterolateral wall, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.4,"Acute myocardial infarction, of other inferior wall",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.71,"Subendocardial infarction, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.91,"Acute myocardial infarction of unspecified site, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.30,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.80,"Acute myocardial infarction of other specified sites, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.11,"Acute myocardial infarction of other anterior wall, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.60,"True posterior wall infarction, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.72,"Subendocardial infarction, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.5,"Acute myocardial infarction, of other lateral wall",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.10,"Acute myocardial infarction of other anterior wall, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.62,"True posterior wall infarction, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410,Acute myocardial infarction,http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.3,"Acute myocardial infarction, of inferoposterior wall",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.42,"Acute myocardial infarction of other inferior wall, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.50,"Acute myocardial infarction of other lateral wall, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.82,"Acute myocardial infarction of other specified sites, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.31,"Acute myocardial infarction of inferoposterior wall, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.1,"Acute myocardial infarction, of other anterior wall",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.40,"Acute myocardial infarction of other inferior wall, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.51,"Acute myocardial infarction of other lateral wall, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.52,"Acute myocardial infarction of other lateral wall, subsequent episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.6,"Acute myocardial infarction, true posterior wall infarction",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.8,"Acute myocardial infarction, of other specified sites",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.81,"Acute myocardial infarction of other specified sites, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.41,"Acute myocardial infarction of other inferior wall, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.70,"Subendocardial infarction, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.90,"Acute myocardial infarction of unspecified site, episode of care unspecified",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,410.61,"True posterior wall infarction, initial episode of care",http://hl7.org/fhir/sid/icd-9-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.29,ST elevation (STEMI) myocardial infarction involving other sites,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.01,ST elevation (STEMI) myocardial infarction involving left main coronary artery,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.09,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21,ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,http://hl7.org/fhir/sid/icd-10-cm
1516.myocardial-infarction-dx,Myocardial Infarction Diagnoses,I21.0,ST elevation (STEMI) myocardial infarction of anterior wall,http://hl7.org/fhir/sid/icd-10-cm
